date,size_group,ticker,name,rank,quant_subtotal
2026-08-04,대형주,000270,기아,1,53
2026-08-04,대형주,086790,하나금융지주,2,49
2026-08-04,대형주,030200,케이티,3,47
2026-08-04,대형주,039490,키움증권,4,45
2026-08-04,대형주,005940,NH투자증권,5,42
2026-08-04,대형주,175330,JB금융지주,6,42
2026-08-04,대형주,241560,두산밥캣,7,42
2026-08-04,대형주,005930,삼성전자,8,39
2026-08-04,대형주,012330,현대모비스,9,39
2026-08-04,대형주,015760,한국전력공사,10,39
2026-08-04,대형주,138930,BNK금융지주,11,39
2026-08-04,대형주,055550,신한지주,12,38
2026-08-04,대형주,161390,한국타이어앤테크놀로지,13,37
2026-08-04,대형주,316140,우리금융지주,14,37
2026-08-04,대형주,005380,현대자동차,15,36
2026-08-04,대형주,024110,기업은행,16,36
2026-08-04,대형주,033780,케이티앤지,17,35
2026-08-04,대형주,005830,DB손해보험,18,32
2026-08-04,대형주,029780,삼성카드,19,31
2026-08-04,대형주,071050,한국금융지주,20,31
2026-08-04,중형주,012630,HDC,1,50
2026-08-04,중형주,005810,풍산홀딩스,2,49
2026-08-04,중형주,093050,LF,3,49
2026-08-04,중형주,453340,현대그린푸드,4,47
2026-08-04,중형주,284740,쿠쿠홈시스,5,45
2026-08-04,중형주,294870,IPARK현대산업개발,6,45
2026-08-04,중형주,071320,지역난방공사,7,44
2026-08-04,중형주,002350,넥센타이어,8,41
2026-08-04,중형주,007700,F&F 홀딩스,9,41
2026-08-04,중형주,023590,다우기술,10,41
2026-08-04,중형주,016380,KG스틸,11,39
2026-08-04,중형주,000240,한국앤컴퍼니,12,38
2026-08-04,중형주,004490,세방전지,13,38
2026-08-04,중형주,069960,현대백화점,14,38
2026-08-04,중형주,383800,LX홀딩스,15,38
2026-08-04,중형주,005880,대한해운,16,37
2026-08-04,중형주,005440,현대지에프홀딩스,17,36
2026-08-04,중형주,006040,동원산업,18,36
2026-08-04,중형주,025540,한국단자공업,19,36
2026-08-04,중형주,058650,세아홀딩스,20,36
2026-08-04,소형주,001390,KG케미칼,1,55
2026-08-04,소형주,016610,DB증권,2,54
2026-08-04,소형주,096760,JW홀딩스,3,50
2026-08-04,소형주,069730,DSR제강,4,48
2026-08-04,소형주,008420,문배철강,5,47
2026-08-04,소형주,035150,백산,6,47
2026-08-04,소형주,155660,DSR,7,47
2026-08-04,소형주,002900,TYM,8,46
2026-08-04,소형주,000890,보해양조,9,45
2026-08-04,소형주,002460,HS화성,10,45
2026-08-04,소형주,003080,SB성보,11,45
2026-08-04,소형주,004250,엔피씨,12,45
2026-08-04,소형주,123700,에스제이엠,13,45
2026-08-04,소형주,001420,태원물산,14,44
2026-08-04,소형주,010640,진양폴리우레탄,15,44
2026-08-04,소형주,013580,계룡건설산업,16,44
2026-08-04,소형주,025000,KPX케미칼,17,44
2026-08-04,소형주,000910,유니온,18,43
2026-08-04,소형주,008260,NI스틸,19,43
2026-08-04,소형주,009770,삼정펄프,20,43
2026-08-05,대형주,000270,기아,1,53
2026-08-05,대형주,086790,하나금융지주,2,49
2026-08-05,대형주,030200,케이티,3,47
2026-08-05,대형주,039490,키움증권,4,45
2026-08-05,대형주,005940,NH투자증권,5,42
2026-08-05,대형주,175330,JB금융지주,6,42
2026-08-05,대형주,241560,두산밥캣,7,42
2026-08-05,대형주,005930,삼성전자,8,39
2026-08-05,대형주,012330,현대모비스,9,39
2026-08-05,대형주,015760,한국전력공사,10,39
2026-08-05,대형주,138930,BNK금융지주,11,39
2026-08-05,대형주,055550,신한지주,12,38
2026-08-05,대형주,161390,한국타이어앤테크놀로지,13,37
