date,size_group,ticker,name,rank,quant_subtotal
2026-08-22,대형주,AAPL,Apple Inc.,1,42
2026-08-22,대형주,MSFT,Microsoft,2,42
2026-08-22,대형주,QCOM,Qualcomm,3,42
2026-08-22,대형주,WMT,Walmart,4,42
2026-08-22,대형주,AXP,American Express,5,41
2026-08-22,대형주,MRVL,Marvell Technology,6,40
2026-08-22,대형주,AMAT,Applied Materials,7,37
2026-08-22,대형주,CAT,Caterpillar Inc.,8,37
2026-08-22,대형주,GS,Goldman Sachs,9,37
2026-08-22,대형주,KLAC,KLA Corporation,10,37
2026-08-22,대형주,MS,Morgan Stanley,11,37
2026-08-22,대형주,PFE,Pfizer,12,37
2026-08-22,대형주,PH,Parker Hannifin,13,37
2026-08-22,대형주,GE,GE Aerospace,14,36
2026-08-22,대형주,WDC,Western Digital,15,36
2026-08-22,대형주,HD,Home Depot (The),16,34
2026-08-22,대형주,ORCL,Oracle Corporation,17,34
2026-08-22,대형주,COP,ConocoPhillips,18,32
2026-08-22,대형주,PM,Philip Morris International,19,32
2026-08-22,대형주,UBER,Uber,20,32
2026-08-22,중형주,HON,Honeywell Technologies,1,47
2026-08-22,중형주,MDT,Medtronic,2,44
2026-08-22,중형주,ALL,Allstate,3,42
2026-08-22,중형주,HIG,Hartford (The),4,42
2026-08-22,중형주,LHX,L3Harris,5,42
2026-08-22,중형주,MLM,Martin Marietta Materials,6,42
2026-08-22,중형주,MO,Altria,7,42
2026-08-22,중형주,CTVA,Corteva,8,41
2026-08-22,중형주,YUM,Yum! Brands,9,41
2026-08-22,중형주,AIG,American International Group,10,40
2026-08-22,중형주,ED,Consolidated Edison,11,40
2026-08-22,중형주,PEG,Public Service Enterprise Group,12,40
2026-08-22,중형주,GD,General Dynamics,13,39
2026-08-22,중형주,TRV,Travelers Companies (The),14,39
2026-08-22,중형주,UPS,United Parcel Service,15,39
2026-08-22,중형주,ADP,Automatic Data Processing,16,37
2026-08-22,중형주,AFL,Aflac,17,37
2026-08-22,중형주,BNY,BNY Mellon,18,37
2026-08-22,중형주,CL,Colgate-Palmolive,19,37
2026-08-22,중형주,DHI,D. R. Horton,20,37
2026-08-22,소형주,AES,AES Corporation,1,50
2026-08-22,소형주,HPQ,HP Inc.,2,45
2026-08-22,소형주,AOS,A. O. Smith,3,42
2026-08-22,소형주,CHTR,Charter Communications,4,42
2026-08-22,소형주,HII,Huntington Ingalls Industries,5,42
2026-08-22,소형주,SYF,Synchrony Financial,6,41
2026-08-22,소형주,WSM,"Williams-Sonoma, Inc.",7,41
2026-08-22,소형주,APA,APA Corporation,8,40
2026-08-22,소형주,LH,Labcorp,9,40
2026-08-22,소형주,AIZ,Assurant,10,39
2026-08-22,소형주,BF.B,Brown–Forman,11,38
2026-08-22,소형주,MOS,Mosaic Company (The),12,38
2026-08-22,소형주,BR,Broadridge Financial Solutions,13,37
2026-08-22,소형주,CFG,Citizens Financial Group,14,37
2026-08-22,소형주,EXPD,Expeditors International,15,37
2026-08-22,소형주,FDS,FactSet,16,37
2026-08-22,소형주,FTV,Fortive,17,37
2026-08-22,소형주,GIS,General Mills,18,37
2026-08-22,소형주,JBHT,J.B. Hunt,19,37
2026-08-22,소형주,L,Loews Corporation,20,37
2026-08-24,대형주,MDT,Medtronic,1,44
2026-08-24,대형주,AAPL,Apple Inc.,2,42
2026-08-24,대형주,MSFT,Microsoft,3,42
2026-08-24,대형주,QCOM,Qualcomm,4,42
2026-08-24,대형주,WMT,Walmart,5,42
2026-08-24,대형주,AXP,American Express,6,41
2026-08-24,대형주,MRVL,Marvell Technology,7,40
2026-08-24,대형주,AMAT,Applied Materials,8,37
2026-08-24,대형주,CAT,Caterpillar Inc.,9,37
2026-08-24,대형주,GS,Goldman Sachs,10,37
2026-08-24,대형주,KLAC,KLA Corporation,11,37
2026-08-24,대형주,MS,Morgan Stanley,12,37
2026-08-24,대형주,PFE,Pfizer,13,37
2026-08-24,대형주,PH,Parker Hannifin,14,37
2026-08-24,대형주,GE,GE Aerospace,15,36
2026-08-24,대형주,WDC,Western Digital,16,36
2026-08-24,대형주,ORCL,Oracle Corporation,17,34
2026-08-24,대형주,COP,ConocoPhillips,18,32
2026-08-24,대형주,PM,Philip Morris International,19,32
2026-08-24,대형주,UBER,Uber,20,32
2026-08-24,중형주,HON,Honeywell Technologies,1,47
2026-08-24,중형주,ALL,Allstate,2,42
2026-08-24,중형주,HIG,Hartford (The),3,42
2026-08-24,중형주,LHX,L3Harris,4,42
2026-08-24,중형주,MLM,Martin Marietta Materials,5,42
2026-08-24,중형주,MO,Altria,6,42
2026-08-24,중형주,CTVA,Corteva,7,41
2026-08-24,중형주,YUM,Yum! Brands,8,41
2026-08-24,중형주,AIG,American International Group,9,40
2026-08-24,중형주,ED,Consolidated Edison,10,40
2026-08-24,중형주,PEG,Public Service Enterprise Group,11,40
2026-08-24,중형주,GD,General Dynamics,12,39
2026-08-24,중형주,TRV,Travelers Companies (The),13,39
2026-08-24,중형주,UPS,United Parcel Service,14,39
2026-08-24,중형주,ADP,Automatic Data Processing,15,37
2026-08-24,중형주,AFL,Aflac,16,37
2026-08-24,중형주,BNY,BNY Mellon,17,37
2026-08-24,중형주,CFG,Citizens Financial Group,18,37
2026-08-24,중형주,CL,Colgate-Palmolive,19,37
2026-08-24,중형주,DHI,D. R. Horton,20,37
2026-08-24,소형주,AES,AES Corporation,1,50
2026-08-24,소형주,HPQ,HP Inc.,2,45
2026-08-24,소형주,AOS,A. O. Smith,3,42
2026-08-24,소형주,CHTR,Charter Communications,4,42
2026-08-24,소형주,HII,Huntington Ingalls Industries,5,42
2026-08-24,소형주,SYF,Synchrony Financial,6,41
2026-08-24,소형주,WSM,"Williams-Sonoma, Inc.",7,41
2026-08-24,소형주,APA,APA Corporation,8,40
2026-08-24,소형주,LH,Labcorp,9,40
2026-08-24,소형주,AIZ,Assurant,10,39
2026-08-24,소형주,BF.B,Brown–Forman,11,38
2026-08-24,소형주,MOS,Mosaic Company (The),12,38
2026-08-24,소형주,BR,Broadridge Financial Solutions,13,37
2026-08-24,소형주,EXPD,Expeditors International,14,37
2026-08-24,소형주,FDS,FactSet,15,37
2026-08-24,소형주,FTV,Fortive,16,37
2026-08-24,소형주,GIS,General Mills,17,37
2026-08-24,소형주,JBHT,J.B. Hunt,18,37
2026-08-24,소형주,L,Loews Corporation,19,37
2026-08-24,소형주,SNA,Snap-on,20,37
2026-08-25,대형주,MDT,Medtronic,1,44
2026-08-25,대형주,AAPL,Apple Inc.,2,42
2026-08-25,대형주,MO,Altria,3,42
2026-08-25,대형주,MSFT,Microsoft,4,42
2026-08-25,대형주,QCOM,Qualcomm,5,42
2026-08-25,대형주,WMT,Walmart,6,42
2026-08-25,대형주,AXP,American Express,7,41
2026-08-25,대형주,MRVL,Marvell Technology,8,40
2026-08-25,대형주,AMAT,Applied Materials,9,37
2026-08-25,대형주,CAT,Caterpillar Inc.,10,37
2026-08-25,대형주,GS,Goldman Sachs,11,37
2026-08-25,대형주,KLAC,KLA Corporation,12,37
2026-08-25,대형주,MS,Morgan Stanley,13,37
2026-08-25,대형주,PFE,Pfizer,14,37
2026-08-25,대형주,PH,Parker Hannifin,15,37
2026-08-25,대형주,GE,GE Aerospace,16,36
2026-08-25,대형주,WDC,Western Digital,17,36
2026-08-25,대형주,ORCL,Oracle Corporation,18,34
2026-08-25,대형주,COP,ConocoPhillips,19,32
2026-08-25,대형주,PM,Philip Morris International,20,32
2026-08-25,중형주,HON,Honeywell Technologies,1,47
2026-08-25,중형주,ALL,Allstate,2,42
2026-08-25,중형주,HIG,Hartford (The),3,42
2026-08-25,중형주,LHX,L3Harris,4,42
2026-08-25,중형주,MLM,Martin Marietta Materials,5,42
2026-08-25,중형주,CTVA,Corteva,6,41
2026-08-25,중형주,YUM,Yum! Brands,7,41
2026-08-25,중형주,AIG,American International Group,8,40
2026-08-25,중형주,ED,Consolidated Edison,9,40
2026-08-25,중형주,PEG,Public Service Enterprise Group,10,40
2026-08-25,중형주,GD,General Dynamics,11,39
2026-08-25,중형주,TRV,Travelers Companies (The),12,39
2026-08-25,중형주,UPS,United Parcel Service,13,39
2026-08-25,중형주,ADP,Automatic Data Processing,14,37
2026-08-25,중형주,AFL,Aflac,15,37
2026-08-25,중형주,BNY,BNY Mellon,16,37
2026-08-25,중형주,CFG,Citizens Financial Group,17,37
2026-08-25,중형주,CL,Colgate-Palmolive,18,37
2026-08-25,중형주,DHI,D. R. Horton,19,37
2026-08-25,중형주,EME,Emcor,20,37
2026-08-25,소형주,AES,AES Corporation,1,50
2026-08-25,소형주,HPQ,HP Inc.,2,45
2026-08-25,소형주,AOS,A. O. Smith,3,42
2026-08-25,소형주,CHTR,Charter Communications,4,42
2026-08-25,소형주,HII,Huntington Ingalls Industries,5,42
2026-08-25,소형주,SYF,Synchrony Financial,6,41
2026-08-25,소형주,WSM,"Williams-Sonoma, Inc.",7,41
2026-08-25,소형주,APA,APA Corporation,8,40
2026-08-25,소형주,LH,Labcorp,9,40
2026-08-25,소형주,AIZ,Assurant,10,39
2026-08-25,소형주,TECH,Bio-Techne,11,39
2026-08-25,소형주,BF.B,Brown–Forman,12,38
2026-08-25,소형주,MOS,Mosaic Company (The),13,38
2026-08-25,소형주,BR,Broadridge Financial Solutions,14,37
2026-08-25,소형주,EXPD,Expeditors International,15,37
2026-08-25,소형주,FDS,FactSet,16,37
2026-08-25,소형주,FTV,Fortive,17,37
2026-08-25,소형주,GIS,General Mills,18,37
2026-08-25,소형주,JBHT,J.B. Hunt,19,37
2026-08-25,소형주,L,Loews Corporation,20,37
